species,site,age0,first,second,third
rainbow,A15,Age-1+,17,10,7
rainbow,A9,Age-0,17,12,8
rainbow,A10,Age-0,25,10,8
rainbow,B1,Age-0,69,43,23
rainbow,B1,Age-1+,6,2,1
rainbow,Bio1,Age-0,38,20,20
rainbow,Bio1,Age-1+,13,10,4
rainbow,Bio2,Age-0,250,166,142
rainbow,Bio2,Age-1+,17,5,6
rainbow,Bio3,Age-0,71,48,40
rainbow,Bio3,Age-1+,5,6,0
rainbow,Bio4,Age-0,150,70,56
rainbow,Bio4,Age-1+,19,11,8
rainbow,Bio5,Age-0,61,33,23
rainbow,C4,Age-0,54,31,25
rainbow,C5,Age-0,41,28,20
rainbow,C5,Age-1+,6,5,2
brown,A9,Age-1+,2,1,0
brown,Bio1,Age-1+,2,1,0
brown,Bio2,Age-0,4,3,0
brown,Bio2,Age-1+,2,0,0
brown,Bio3,Age-0,7,4,2
brown,Bio4,Age-0,17,10,6
brown,Bio4,Age-1+,14,5,4
brown,Bio5,Age-0,103,22,12
brown,Bio5,Age-1+,14,10,0
brown,C4,Age-0,3,1,0
brown,C4,Age-1+,4,4,0
brown,C5,Age-1+,11,1,1
rainbow,A9,Age-1+,4,3,4
rainbow,A10,Age-0,0,0,2
rainbow,Bio5,Age-1+,1,0,0
rainbow,C4,Age-1+,6,4,2
rainbow,A15,Age-0,42,57,43
rainbow,B9,Age-0,82,26,39
rainbow,B9,Age-1+,2,4,4
brown,A10,Age-0,0,1,0
brown,A15,Age-1+,2,2,1
brown,A9,Age-0,1,0,0
brown,B9,Age-1+,3,2,1
